,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed
0,saint george,40,bm,1527650400,63,39.45,62.6,5.82
1,gornyy,0,kg,1527651913,45,51.76,57.18,11.99
2,carnarvon,8,ec,1527651914,70,-30.97,25.05,2.93
3,tokmak,0,pf,1527651914,30,47.26,56.28,9.98
4,puerto ayora,0,sh,1527651914,99,-0.74,74.1,10.54
5,alta floresta,56,sc,1527651914,62,-9.87,79.95,3.6
6,rikitea,0,us,1527651915,100,-23.12,75.45,9.19
7,busselton,0,pf,1527651915,100,-33.64,65.19,17.47
8,chapais,1,au,1527649200,70,49.78,46.4,2.24
9,japura,48,ar,1527651915,79,-0.42,83.46,2.93
10,leningradskiy,8,us,1527651915,97,69.38,32.34,17.47
11,jamestown,0,cv,1527651916,57,-33.21,56.73,9.42
12,victoria,75,ca,1527651000,83,5.28,86.0,1.12
13,potsdam,0,ca,1527650400,56,52.4,69.8,6.93
14,faanui,0,ca,1527651916,100,-16.48,81.93,13.0
15,hobart,75,gb,1527649200,50,-42.88,53.6,9.17
16,ushuaia,32,ck,1527651917,100,-54.81,28.38,10.2
17,chokurdakh,44,mu,1527651917,100,70.62,31.17,8.19
18,ilulissat,76,br,1527648600,64,69.22,35.6,2.24
19,cape town,0,za,1527649200,93,-33.93,50.0,9.17
20,zhanaozen,48,cl,1527651918,28,43.35,55.92,11.54
21,tekeli,56,ca,1527651918,14,44.86,68.7,3.04
22,caravelas,76,br,1527651918,100,-17.73,75.99,12.55
23,makakilo city,1,jp,1527649020,69,21.35,80.6,10.29
24,sao filipe,0,cv,1527651918,100,14.9,70.5,15.01
25,yellowknife,75,to,1527649200,40,62.45,53.6,17.22
26,bluff,0,cl,1527651919,41,-23.58,78.06,4.38
27,iqaluit,90,au,1527649200,86,63.75,30.2,24.16
28,la tuque,0,lt,1527651919,52,47.44,48.72,4.16
29,golspie,75,ci,1527650400,100,57.97,51.8,4.7
30,khatanga,24,uy,1527651920,90,71.98,43.59,13.11
31,provideniya,90,us,1527649200,86,64.42,37.4,15.66
32,avarua,75,us,1527649200,88,-21.21,80.6,8.05
33,severo-kurilsk,0,us,1527651920,80,50.68,47.28,6.06
34,dikson,92,us,1527651921,100,73.51,30.36,3.04
35,mahebourg,20,za,1527649200,88,-20.41,66.2,6.93
36,longyearbyen,75,yt,1527648600,96,78.22,33.8,8.05
37,butaritari,92,nz,1527651921,100,3.07,84.54,11.43
38,novobirilyussy,0,br,1527651921,75,56.95,61.05,6.96
39,arraial do cabo,44,au,1527651922,100,-22.97,67.44,2.71
40,hermanus,80,us,1527651922,99,-34.42,39.81,3.38
41,punta arenas,0,pf,1527649200,79,-53.16,33.8,8.05
42,havre-saint-pierre,20,br,1527649200,74,50.23,37.4,13.67
43,touros,80,za,1527651922,79,-5.2,79.32,16.58
44,hirara,40,mu,1527649200,66,24.8,87.8,14.99
45,porto novo,0,nc,1527649200,87,-23.68,60.8,8.05
46,vaini,88,us,1527651353,92,15.34,78.06,4.94
47,castro,92,mv,1527651924,100,-42.48,45.12,7.63
48,talnakh,32,no,1527651659,90,69.49,35.4,3.71
49,new norfolk,75,au,1527649200,50,-42.78,53.6,9.17
50,eisiskes,0,us,1527650400,77,54.17,59.0,3.36
51,tabou,88,us,1527651769,100,4.42,81.3,7.4
52,chuy,12,ca,1527651924,73,-33.69,63.75,16.02
53,fairbanks,75,jp,1527649080,31,64.84,64.4,12.75
54,douglas,1,ro,1527648960,10,31.34,82.4,10.29
55,huron,20,pe,1527648900,68,44.36,71.6,6.93
56,owosso,1,to,1527650280,78,43.0,77.0,11.54
57,bredasdorp,80,za,1527649200,93,-34.53,50.0,8.52
