,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed
0,saint-philippe,1,re,1527648900,76,45.36,68.0,5.5
1,plast,12,pf,1527650933,61,54.37,43.86,6.17
2,rikitea,0,jp,1527648764,100,-23.12,75.45,9.19
3,albany,20,sh,1527645240,37,42.65,71.6,9.17
4,amberley,0,us,1527649200,75,-43.15,46.4,2.24
5,muroto,75,ao,1527646800,94,33.37,69.8,4.7
6,iquitos,75,pt,1527649200,94,-3.75,75.2,2.24
7,jadu,12,pf,1527650934,32,31.95,75.36,4.38
8,jamestown,0,us,1527648632,57,-33.21,56.73,9.42
9,north bend,1,pf,1527648960,76,43.41,53.6,23.04
10,namibe,0,ar,1527650935,100,-15.19,71.31,8.97
11,ambilobe,0,nz,1527650935,74,-13.19,69.06,9.42
12,nikolskoye,0,nz,1527647400,45,59.7,64.4,17.9
13,ribeira grande,32,br,1527650935,100,38.52,62.85,16.02
14,atuona,44,us,1527649687,100,-9.8,80.31,15.68
15,barrow,92,br,1527649446,98,-38.31,54.21,9.53
16,khatanga,24,us,1527649776,90,71.98,43.59,13.11
17,mataura,0,sb,1527648762,74,-46.19,44.22,4.38
18,bredasdorp,80,mx,1527645600,93,-34.53,50.0,2.24
19,ushuaia,40,nz,1527645600,80,-54.81,30.2,17.22
20,hofn,100,za,1527650936,96,64.25,47.1,6.06
21,katangli,0,gf,1527650937,51,51.71,59.52,16.46
22,tuatapere,0,gb,1527649983,100,-46.13,47.46,3.6
23,bluff,0,sh,1527649678,41,-23.58,78.06,4.38
24,punta arenas,0,is,1527649200,79,-53.16,33.8,8.05
25,iqaluit,90,us,1527645600,92,63.75,30.2,21.92
26,hermanus,80,pg,1527649457,99,-34.42,39.81,3.38
27,bilibino,8,us,1527650444,60,68.06,44.67,4.16
28,areia branca,75,za,1527650100,94,-10.76,73.4,14.99
29,lompoc,90,za,1527647700,93,34.64,68.0,5.82
30,longyearbyen,75,jp,1527648600,96,78.22,33.8,8.05
31,aquiraz,0,no,1527649200,83,-3.9,78.8,3.36
32,kapaa,75,kr,1527645360,78,22.08,80.6,14.99
33,buraydah,92,au,1527645600,32,26.33,84.2,4.7
34,buala,68,ec,1527650657,97,-8.15,82.38,7.96
35,aktau,0,br,1527649200,26,43.65,59.0,13.42
36,thompson,40,cv,1527645600,46,55.74,69.8,4.7
37,algodones,1,cu,1527650100,13,35.38,82.4,11.41
38,tasiilaq,92,in,1527648600,86,65.61,37.4,16.11
39,springbok,0,au,1527650738,71,-29.67,31.8,4.38
40,ola,90,pt,1527649200,70,59.58,44.6,13.42
41,vaini,88,au,1527649764,92,15.34,78.06,4.94
42,kaitangata,0,cl,1527649769,79,-46.28,43.23,4.16
43,kruisfontein,24,mr,1527650451,100,-34.0,51.87,5.39
44,cayenne,92,za,1527649200,100,4.94,75.2,3.36
45,brae,32,mw,1527648600,87,60.4,50.0,12.75
46,georgetown,20,br,1527645600,94,6.8,77.0,4.7
47,grindavik,90,tm,1527649200,100,63.84,48.2,16.11
48,hilo,90,ar,1527646920,88,19.71,75.2,5.82
49,busselton,0,ir,1527648761,100,-33.64,65.19,17.47
50,tuktoyaktuk,40,id,1527647040,80,69.44,32.0,17.22
51,lorengau,56,au,1527650181,100,-2.02,83.55,1.92
52,cedar city,1,us,1527648780,28,37.68,69.8,6.93
53,san andres,56,ck,1527650945,100,13.32,85.98,8.75
54,vredendal,56,de,1527650945,85,-31.68,39.81,2.59
55,port alfred,0,za,1527650794,100,-33.59,55.65,5.95
56,hirara,20,gp,1527645600,70,24.8,87.8,11.41
57,pisco,0,zm,1527645600,88,-13.71,64.4,6.93
58,tonstad,0,ne,1527646800,93,58.66,60.8,2.24
59,seoul,75,it,1527647400,72,37.57,75.2,5.82
60,hobart,75,om,1527646680,46,-42.88,53.6,19.46
61,puerto ayora,0,br,1527650947,99,-0.74,74.1,10.54
62,hithadhoo,92,br,1527649849,100,-0.6,81.12,13.78
63,arraial do cabo,44,mv,1527650794,100,-22.97,67.44,2.71
64,palana,88,ao,1527650947,98,59.08,38.82,3.6
65,sao filipe,0,us,1527650947,100,14.9,70.5,15.01
66,belaya kholunitsa,68,us,1527650947,83,58.84,55.2,14.79
67,bambous virieux,20,uy,1527649200,88,-20.34,66.2,6.93
68,santa fe,92,mx,1527650948,71,-31.62,68.97,9.75
69,imphal,75,nz,1527649200,83,24.8,73.4,3.36
70,new norfolk,75,cd,1527649200,50,-42.78,53.6,9.17
71,ostrovnoy,88,tz,1527650949,99,68.05,34.59,14.45
72,colares,40,in,1527649200,87,38.8,60.8,4.7
73,mahebourg,20,pg,1527645600,93,-20.41,64.4,8.05
74,esperance,20,pf,1527645600,88,10.24,77.0,8.05
75,drayton valley,92,mx,1527650949,49,53.22,52.32,4.5
76,gwadar,0,bm,1527650443,91,25.12,85.08,2.48
77,lebu,44,eg,1527649697,97,8.96,49.35,2.59
78,beidao,92,pg,1527650950,74,34.57,61.32,3.04
79,atar,0,tz,1527650950,40,20.52,71.4,4.16
80,cape town,0,cn,1527649200,93,-33.93,50.0,9.17
81,thyolo,0,ru,1527650951,88,-16.07,52.05,2.48
82,ariquemes,0,ru,1527650951,71,-9.91,77.43,2.59
83,murgab,64,qa,1527649200,28,37.5,69.8,4.7
84,trelew,0,ru,1527650952,57,-43.25,39.63,10.65
85,baneh,40,cn,1527649200,82,35.99,62.6,4.7
86,baoqing,44,ru,1527650952,71,46.32,70.68,3.6
87,lasa,0,es,1527648600,82,34.92,66.2,8.05
88,ambon,90,nz,1527649200,93,47.55,62.6,8.05
89,geraldton,40,ru,1527645600,60,49.72,69.8,6.93
90,chokurdakh,44,id,1527649629,100,70.62,31.17,8.19
91,anaconda,1,za,1527648780,34,46.13,66.2,5.82
92,chumikan,0,us,1527650953,53,54.72,56.46,3.49
93,avarua,90,ru,1527645600,94,-21.21,80.6,10.29
94,kreuztal,20,mx,1527650400,93,50.96,62.6,4.7
95,koster,0,za,1527650671,75,-25.86,31.35,2.93
96,saint-francois,0,us,1527649200,93,46.42,57.2,2.59
97,solwezi,0,is,1527650954,82,-12.18,50.61,4.38
98,filingue,0,ru,1527650954,55,14.35,82.29,12.44
99,lerici,0,vu,1527648300,88,44.07,64.4,2.24
100,sur,0,ca,1527650590,80,22.57,88.95,7.07
101,qaanaaq,20,ca,1527649750,81,77.48,18.84,3.6
102,laguna,0,ca,1527650955,25,27.52,83.46,3.94
103,oktyabrskoye,76,ru,1527650955,54,56.73,51.15,3.49
104,amapa,75,nz,1527649200,83,15.09,82.4,6.93
105,ilinskiy,0,us,1527649200,62,55.62,60.8,8.95
106,thinadhoo,88,cv,1527650956,100,0.53,84.0,17.25
107,lubango,0,bs,1527650342,88,-14.92,52.41,2.15
108,pacific grove,90,ca,1527649260,82,36.62,60.8,9.17
