,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBCWorld,Anthony Bourdain: Chef breaks into tears remembering his friend https://t.co/VMvl8KSq3W,Sat Jun 09 03:52:37 +0000 2018,0.3182,0.244,0.145,0.611,1
1,@BBCWorld,Jobless young Italians abandon charms of south https://t.co/FcqWWWTKu2,Sat Jun 09 03:34:58 +0000 2018,0.0,0.246,0.246,0.508,2
2,@BBCWorld,India women pay tribute to Bollywood star Sridevi through cosplay https://t.co/rQjWBWWd3p,Sat Jun 09 03:14:00 +0000 2018,-0.1027,0.0,0.123,0.877,3
3,@BBCWorld,Tayyaba abuse case shines light on Pakistan's child maids https://t.co/sXsjI8bXcA,Sat Jun 09 03:09:29 +0000 2018,-0.6369,0.0,0.318,0.682,4
4,@BBCWorld,Maria Esther Bueno: Brazilian star of 1960s women's tennis dies https://t.co/hlcUIRhgcV,Sat Jun 09 01:59:35 +0000 2018,0.0,0.0,0.0,1.0,5
5,@BBCWorld,Trump Kim summit: Who's pulling the strings? https://t.co/GROmz0qgIX,Sat Jun 09 01:34:07 +0000 2018,0.0,0.0,0.0,1.0,6
6,@BBCWorld,Week in pictures: 2 - 8 June 2018 https://t.co/04QX8UWGZr,Sat Jun 09 01:26:51 +0000 2018,0.0,0.0,0.0,1.0,7
7,@BBCWorld,Anthony Bourdain: Why his travel shows had global appeal https://t.co/lrP0LJKC7n,Sat Jun 09 00:33:12 +0000 2018,0.0,0.0,0.0,1.0,8
8,@BBCWorld,China hackers steal data from US Navy contractor - reports https://t.co/A0UxMnLFFj,Fri Jun 08 23:10:00 +0000 2018,-0.4939,0.0,0.262,0.738,9
9,@BBCWorld,Why Russian workers are being taught how to smile https://t.co/K2vn2PyLt3,Fri Jun 08 23:10:00 +0000 2018,0.3612,0.217,0.0,0.783,10
10,@BBCWorld,'They keep me here so I can't attack' https://t.co/uqG5k3pvIF,Fri Jun 08 23:10:00 +0000 2018,0.4277,0.288,0.0,0.712,11
11,@BBCWorld,Barbed wire and smuggled crabs: Watching North Korea from China https://t.co/Vjgk1HoL9H,Fri Jun 08 23:10:00 +0000 2018,-0.3612,0.0,0.2,0.8,12
12,@BBCWorld,Why US suicide rate is on the rise https://t.co/6jqRzwhm8Q,Fri Jun 08 22:27:18 +0000 2018,-0.6705,0.0,0.36,0.64,13
13,@BBCWorld,US election 2018: The women lining up to topple Trump https://t.co/LOGxNymdY4,Fri Jun 08 21:49:36 +0000 2018,0.0,0.0,0.0,1.0,14
14,@BBCWorld,'Kim and Trump' buddy up in Singapore https://t.co/G0i7WJ60Kp,Fri Jun 08 21:49:36 +0000 2018,0.0,0.0,0.0,1.0,15
15,@BBCWorld,Cuba 'sonic attack': US tests two more Havana embassy staff https://t.co/rUEbx6eGMs,Fri Jun 08 20:26:04 +0000 2018,0.0,0.0,0.0,1.0,16
16,@BBCWorld,US soldier killed in Somalia firefight https://t.co/rEudHbzFIX,Fri Jun 08 20:02:34 +0000 2018,-0.6705,0.0,0.429,0.571,17
17,@BBCWorld,Why Turkey’s election matters to you https://t.co/ZvjTjYB9NB,Fri Jun 08 19:57:33 +0000 2018,0.0258,0.155,0.0,0.845,18
18,@BBCWorld,Mueller charges Manafort's right-hand man Konstantin Kilimnik https://t.co/q8UkWe7lxS,Fri Jun 08 19:50:10 +0000 2018,-0.2732,0.0,0.231,0.769,19
19,@BBCWorld,"RT @BBCBreaking: World leaders assemble for 'family photo' at G7 summit in Canada 

https://t.co/9TJ4sS5Kev https://t.co/ZWUrmO3cV5",Fri Jun 08 18:36:08 +0000 2018,0.0,0.0,0.0,1.0,20
20,@BBCWorld,Anthony Bourdain: Five of his tips for eating out https://t.co/LtHrUA3UZf,Fri Jun 08 18:19:47 +0000 2018,0.0,0.0,0.0,1.0,21
21,@BBCWorld,Could an emoji save your life in an earthquake? https://t.co/XYrmKybk1h,Fri Jun 08 18:17:32 +0000 2018,0.4939,0.262,0.0,0.738,22
22,@BBCWorld,US 'grants extradition' of former Panama President Ricardo Martinelli https://t.co/UAW2FYapUv,Fri Jun 08 17:50:19 +0000 2018,0.2263,0.174,0.0,0.826,23
23,@BBCWorld,"RT @BBCSport: Incredible.

Rafael Nadal is in the French Open final AGAIN.

LIVE👉https://t.co/9uGaa6ApEd
📻 @5livesport extra
#bbctennis #RG…",Fri Jun 08 16:19:04 +0000 2018,0.0,0.0,0.0,1.0,24
24,@BBCWorld,Pilot dies after plane crash-lands in Melbourne https://t.co/EMeKHmKRYj,Fri Jun 08 16:18:56 +0000 2018,0.0,0.0,0.0,1.0,25
25,@BBCWorld,Photojournalist Duncan dies aged 102 https://t.co/UiTmSm6hu9,Fri Jun 08 16:18:55 +0000 2018,0.0,0.0,0.0,1.0,26
26,@BBCWorld,Alligator knocks out trapper in Florida https://t.co/tVJz096hfE,Fri Jun 08 15:26:20 +0000 2018,0.0,0.0,0.0,1.0,27
27,@BBCWorld,"👨 See you later alligator! 
🐊 You're not getting rid of me that easily 

https://t.co/qQ1cgJlABC https://t.co/k42qn8mVcx",Fri Jun 08 15:11:34 +0000 2018,0.4003,0.152,0.0,0.848,28
28,@BBCWorld,Anthony Bourdain tributes celebrate his #MeToo support https://t.co/NHWLK8aJEa,Fri Jun 08 14:57:55 +0000 2018,0.7506,0.516,0.0,0.484,29
29,@BBCWorld,Ghana football head Kwesi Nyantakyi banned by Fifa over 'cash gift' https://t.co/KsfCRCM7gT,Fri Jun 08 14:57:55 +0000 2018,-0.0258,0.182,0.189,0.629,30
30,@BBCWorld,Congo warlord's conviction overturned https://t.co/5wXHGlhCwB,Fri Jun 08 14:46:00 +0000 2018,0.0,0.0,0.0,1.0,31
31,@BBCWorld,RT @bbcworldservice: How these children in Uganda are being taught to spot 'fake news'. https://t.co/bFElDeRRfs,Fri Jun 08 14:36:31 +0000 2018,-0.4767,0.0,0.181,0.819,32
32,@BBCWorld,RT @BBCNews: The Queen has successful cataract operation https://t.co/xsbqmA0rT5,Fri Jun 08 14:35:20 +0000 2018,0.5859,0.322,0.0,0.678,33
33,@BBCWorld,Chimamanda Ngozi Adichie: Changing men and opening doors https://t.co/ByW9IlvCmJ,Fri Jun 08 14:26:27 +0000 2018,0.0,0.0,0.0,1.0,34
34,@BBCWorld,The ghost village being reclaimed by nature https://t.co/vQ4NLtHSKq,Fri Jun 08 14:26:27 +0000 2018,-0.3182,0.0,0.247,0.753,35
35,@BBCWorld,Susanna Feldman murder: Suspect in German teen's killing arrested in Iraq https://t.co/NzRl3TOjBY,Fri Jun 08 13:53:16 +0000 2018,-0.9371,0.0,0.643,0.357,36
36,@BBCWorld,Muhammad Ali: President Trump mulls draft dodging pardon https://t.co/sE4Vgx0o3z,Fri Jun 08 13:22:41 +0000 2018,0.2263,0.215,0.131,0.654,37
37,@BBCWorld,South African company apologises for sexist beer campaign https://t.co/lio95mz2Vs,Fri Jun 08 12:26:05 +0000 2018,0.2023,0.184,0.0,0.816,38
38,@BBCWorld,"RT @BBCBreaking: US celebrity chef and writer Anthony Bourdain found dead in French hotel room at age of 61, his employer CNN says https://…",Fri Jun 08 12:04:07 +0000 2018,-0.6486,0.0,0.158,0.842,39
39,@BBCWorld,Anthony Bourdain: Celebrity chef found dead at 61 https://t.co/CSe1SfLbyh,Fri Jun 08 11:34:10 +0000 2018,-0.6486,0.0,0.35,0.65,40
40,@BBCWorld,"RT @BBC_HaveYourSay: What do you do when a loved one suffers from depression? If you are happy to do so, please share your stories with us.…",Fri Jun 08 11:18:49 +0000 2018,0.7407,0.336,0.175,0.489,41
41,@BBCWorld,"RT @BBCSteveR: President Putin's TV phone-in: ""democracy in action"" or ""the product of an inefficient system""?  My quick take on the marath…",Fri Jun 08 11:16:57 +0000 2018,0.0,0.0,0.0,1.0,42
42,@BBCWorld,RT @BBCEarth: Sir David Attenborough’s message for #WorldOceansDay. 🌊💙 https://t.co/H7x7bD25hZ,Fri Jun 08 11:09:25 +0000 2018,0.0,0.0,0.0,1.0,43
43,@BBCWorld,Stolen Christopher Columbus letter returned to Spain https://t.co/A9KGNYDvOz,Fri Jun 08 10:40:11 +0000 2018,-0.4939,0.0,0.314,0.686,44
44,@BBCWorld,Fortnite player first to reach elusive game island https://t.co/m5yHE8weV7,Fri Jun 08 10:30:17 +0000 2018,0.0258,0.121,0.0,0.879,45
45,@BBCWorld,Airbnb cancels thousands of bookings in Japan https://t.co/DVjm9AfyT1,Fri Jun 08 10:15:03 +0000 2018,-0.2263,0.0,0.213,0.787,46
46,@BBCWorld,Chinese house demolition halted because of swallow residents https://t.co/lfRVqFAXOW,Fri Jun 08 10:07:59 +0000 2018,0.0,0.0,0.0,1.0,47
47,@BBCWorld,Lullaby written for school-shooting drills https://t.co/drHquGiiyy,Fri Jun 08 09:53:26 +0000 2018,0.0,0.0,0.0,1.0,48
48,@BBCWorld,RT @bbcworldservice: What's happening to Botswana's disappearing birds of prey? https://t.co/r7ap3kXJhl,Fri Jun 08 09:47:46 +0000 2018,0.0,0.0,0.0,1.0,49
49,@BBCWorld,"""Who could survive this heat?"" 
Eddie Santiago returns to search for his family after the Guatemala volcano 🌋… https://t.co/GuW3Knrc7s",Fri Jun 08 09:35:22 +0000 2018,0.0,0.0,0.0,1.0,50
50,@BBCWorld,Trump-Kim summit: S Korean reporters arrested over N Korea 'trespass' https://t.co/wanY1HqpZg,Fri Jun 08 09:32:25 +0000 2018,-0.4767,0.0,0.279,0.721,51
51,@BBCWorld,"Turkey is holding early elections so why does it matter? 🇹🤔
Here's the BBC's Turkey correspondent @marklowen on wha… https://t.co/s8deGwPfGA",Fri Jun 08 09:12:06 +0000 2018,0.0258,0.055,0.0,0.945,52
52,@BBCWorld,Austria to shut seven 'political' mosques and expel imams https://t.co/40EAL3221A,Fri Jun 08 09:07:25 +0000 2018,-0.4404,0.0,0.244,0.756,53
53,@BBCWorld,Making food crops that feed themselves https://t.co/L4gtmnZYwq,Fri Jun 08 08:57:48 +0000 2018,0.0,0.0,0.0,1.0,54
54,@BBCWorld,"RT @BBC_HaveYourSay: ""My name is Michael Patterson, sir. Thank you for delivering me."" 

https://t.co/4ktgD2zmIx",Fri Jun 08 07:26:35 +0000 2018,0.3612,0.161,0.0,0.839,55
55,@BBCWorld,Tariffs and Trump: War of words ahead of G7 summit https://t.co/biWNYzibei,Fri Jun 08 07:04:28 +0000 2018,-0.5994,0.0,0.281,0.719,56
56,@BBCWorld,"RT @BBCStreeter: France has banned mobile phones in schools, should other countries do the same? On #bbcbizlive ⁦⁦@BBCBusiness⁩ we want to…",Fri Jun 08 07:04:00 +0000 2018,-0.4019,0.056,0.129,0.815,57
57,@BBCWorld,Australia indigenous treaties: Historic steps 'beginning of journey' https://t.co/xCgiEZ6arL,Fri Jun 08 06:21:39 +0000 2018,0.0,0.0,0.0,1.0,58
58,@BBCWorld,Big fight to bring arm wrestling to South Africa's townships https://t.co/Fj7KlFhCN2,Fri Jun 08 03:11:30 +0000 2018,-0.3818,0.0,0.206,0.794,59
59,@BBCWorld,Trump-Kim summit: Can you achieve peace on a plate? https://t.co/N7eeTPsyH3,Fri Jun 08 03:11:30 +0000 2018,0.5423,0.304,0.0,0.696,60
60,@BBCWorld,RT @BBCMaryam: French school kids are to be banned from using mobile phones on school grounds in France from Sept. Is this a good thing ? O…,Fri Jun 08 03:08:52 +0000 2018,0.0964,0.115,0.102,0.783,61
61,@BBCWorld,Doug Ford: Ex-Toronto mayor's brother set to be Ontario premier https://t.co/Te5Kj7pBl4,Fri Jun 08 02:31:17 +0000 2018,0.0,0.0,0.0,1.0,62
62,@BBCWorld,IMF agrees to loan up to $50bn for Argentina https://t.co/mE818MXK46,Fri Jun 08 02:10:24 +0000 2018,0.2023,0.167,0.0,0.833,63
63,@BBCWorld,Canada moves a step closer to legalising marijuana https://t.co/g31HAMjAqT,Fri Jun 08 01:36:11 +0000 2018,0.0,0.0,0.0,1.0,64
64,@BBCWorld,"US to send 1,600 immigration detainees to federal prisons https://t.co/JisMU9COyf",Fri Jun 08 01:18:43 +0000 2018,0.0,0.0,0.0,1.0,65
65,@BBCWorld,US President Donald Trump said he would consider inviting North Korea's Kim Jong-un to the White House if their sum… https://t.co/Qux6rLCASx,Fri Jun 08 00:33:47 +0000 2018,0.3182,0.103,0.0,0.897,66
66,@BBCWorld,UN sanctions top people smugglers in Libya in global first https://t.co/GLAS7ok1EY,Thu Jun 07 23:56:30 +0000 2018,-0.1531,0.136,0.182,0.682,67
67,@BBCWorld,Mexico candidate López Obrador thrives on promise of change https://t.co/629EgGPCut,Thu Jun 07 23:46:56 +0000 2018,0.3182,0.204,0.0,0.796,68
68,@BBCWorld,Viewpoint: Will Pakistan mend its ways on terror? https://t.co/mqPilVt63E,Thu Jun 07 23:44:48 +0000 2018,-0.5267,0.0,0.298,0.702,69
69,@BBCWorld,Will the G7 summit be dominated by a trade row? https://t.co/fBR7R0Ynsm,Thu Jun 07 23:44:46 +0000 2018,0.0,0.0,0.0,1.0,70
70,@BBCWorld,Turkey’s Erdogan faces surprise test in tight vote https://t.co/e27FsI9Mrl,Thu Jun 07 23:33:14 +0000 2018,0.2732,0.208,0.0,0.792,71
71,@BBCWorld,Africa's week in pictures: 1-7 June 2018 https://t.co/9kEBFNgC8G,Thu Jun 07 23:23:57 +0000 2018,0.0,0.0,0.0,1.0,72
72,@BBCWorld,Guatemala volcano: 'There's no hope for finding my family' https://t.co/kVLiofAbdO,Thu Jun 07 23:09:33 +0000 2018,0.1779,0.221,0.168,0.611,73
73,@BBCWorld,New Prince album announced on 60th birthday https://t.co/D0YhZH3scJ,Thu Jun 07 20:44:38 +0000 2018,0.0,0.0,0.0,1.0,74
74,@BBCWorld,Kate Spade: Death ruled suicide by medical examiner https://t.co/sZYQgj95Rp,Thu Jun 07 19:50:04 +0000 2018,-0.8555,0.0,0.545,0.455,75
75,@BBCWorld,Ghana dissolves football association amid corruption claims https://t.co/Iq1ltQIcot,Thu Jun 07 19:45:09 +0000 2018,0.0,0.0,0.0,1.0,76
76,@BBCWorld,Ask Putin: The phone-in with a difference https://t.co/9r1u9DtyMb,Thu Jun 07 19:31:25 +0000 2018,0.0,0.0,0.0,1.0,77
77,@BBCWorld,Trump-Kim summit: North Korea leader may get US invite https://t.co/quH9Py6ngW,Thu Jun 07 19:15:58 +0000 2018,0.1531,0.151,0.0,0.849,78
78,@BBCWorld,"US President Donald Trump says if North Korea summit goes well, he will invite Kim Jong-un to the United States… https://t.co/8DEVLVuzGG",Thu Jun 07 18:51:15 +0000 2018,0.6705,0.265,0.0,0.735,79
79,@BBCWorld,"""A major step forward is about to be taken"" - Japan PM Shinzo Abe says he values President Trump's ""strong commitme… https://t.co/B9eLEuyvzb",Thu Jun 07 18:40:22 +0000 2018,0.7184,0.24,0.0,0.76,80
80,@BBCWorld,"""I hope the upcoming meeting... represents the beginning of a bright new future for North Korea"" - President Trump… https://t.co/ySe120KVo5",Thu Jun 07 18:32:36 +0000 2018,0.7003,0.266,0.0,0.734,81
81,@BBCWorld,French MPs back ban on mobile phone use in schools https://t.co/5fdw3o4Vro,Thu Jun 07 17:45:14 +0000 2018,-0.5574,0.0,0.265,0.735,82
82,@BBCWorld,Tornado sweeps across Laramie in Wyoming https://t.co/mIwXkkaZXR,Thu Jun 07 17:29:36 +0000 2018,0.0,0.0,0.0,1.0,83
83,@BBCWorld,Oldest 'footprints' found in China https://t.co/SwHZs1Nn0g,Thu Jun 07 17:26:44 +0000 2018,0.0,0.0,0.0,1.0,84
84,@BBCWorld,This is the remarkable story of a convent of Mexican nuns helping to save one of the world's most endangered amphib… https://t.co/eBLEuxGfZB,Thu Jun 07 17:03:36 +0000 2018,0.8402,0.333,0.0,0.667,85
85,@BBCWorld,How a BBC crew was followed in World Cup 2018 Russia https://t.co/sYqVcSNX0R,Thu Jun 07 16:42:20 +0000 2018,0.0,0.0,0.0,1.0,86
86,@BBCWorld,Rogue Baltimore police unit ringleader Wayne Jenkins jailed https://t.co/H3bIZdOWHb,Thu Jun 07 16:42:19 +0000 2018,-0.4939,0.0,0.286,0.714,87
87,@BBCWorld,What Nicaragua demonstrators want https://t.co/bKwW2QpIZz,Thu Jun 07 16:19:45 +0000 2018,0.0772,0.245,0.0,0.755,88
88,@BBCWorld,Georgians put the boot in over PM's alleged use of bots https://t.co/DIHSJz7dzl,Thu Jun 07 16:14:38 +0000 2018,0.0,0.0,0.0,1.0,89
89,@BBCWorld,Avengers superfan watches Infinity War film 43 times https://t.co/nZWOad3JDI,Thu Jun 07 16:04:30 +0000 2018,-0.5994,0.0,0.328,0.672,90
90,@BBCWorld,Kate Spade death: Mental illness 'doesn't discriminate' https://t.co/c6543I9kot,Thu Jun 07 15:32:15 +0000 2018,-0.765,0.0,0.524,0.476,91
91,@BBCWorld,Silent alert system for women who are being attacked in the street wins $1m XPrize #BBCWorldHacks https://t.co/ehis3Uqfi8,Thu Jun 07 15:17:30 +0000 2018,0.4404,0.258,0.131,0.611,92
92,@BBCWorld,Korean woman survives six days in Australian wilderness https://t.co/UpXmoQRUWS,Thu Jun 07 15:11:02 +0000 2018,0.0,0.0,0.0,1.0,93
93,@BBCWorld,Israel blames Iran for Gaza border violence https://t.co/RGFIss4CCu,Thu Jun 07 15:11:00 +0000 2018,-0.7783,0.0,0.531,0.469,94
