,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@CBSNews,5 dangerous myths about Social Security https://t.co/eJR8SNXxF6 https://t.co/bpF6XXuB01,Sat Jun 09 04:48:03 +0000 2018,-0.1779,0.229,0.295,0.476,1
1,@CBSNews,High school valedictorian says mic was cut before speaking about sex assault https://t.co/HPzGQvfP6v https://t.co/y4vjIuSSbB,Sat Jun 09 04:33:03 +0000 2018,-0.7096,0.0,0.33,0.67,2
2,@CBSNews,Woman who led private investigator to stepson's decomposing remains found dead https://t.co/tIzWD3pZII https://t.co/EylAtAJMjM,Sat Jun 09 04:18:03 +0000 2018,-0.6486,0.0,0.264,0.736,3
3,@CBSNews,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/vbyN5oULaN https://t.co/7WLUMDNYDH",Sat Jun 09 04:03:06 +0000 2018,-0.0258,0.0,0.073,0.927,4
4,@CBSNews,"The Warriors defeated LeBron James and the Cavaliers 108-85, completing a perfect 4-0 sweep https://t.co/Byn9sLKXGL https://t.co/V4KNZy4IAt",Sat Jun 09 03:50:00 +0000 2018,0.1531,0.187,0.157,0.657,5
5,@CBSNews,Woman missing after reported alligator attack in Florida https://t.co/GP0MEsucEt https://t.co/Bs3cVoxsSk,Sat Jun 09 03:48:03 +0000 2018,-0.6486,0.0,0.398,0.602,6
6,@CBSNews,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/p2zYrsgywF https://t.co/rKKuaUzghZ",Sat Jun 09 03:33:03 +0000 2018,-0.8481,0.0,0.479,0.521,7
7,@CBSNews,"Asia Argento, girlfriend of Anthony Bourdain, ""beyond devastated"" https://t.co/e1GU9vOKPn https://t.co/RrDJwtAUm4",Sat Jun 09 03:18:04 +0000 2018,-0.6124,0.0,0.308,0.692,8
8,@CBSNews,Fox News' Charles Krauthammer says he has weeks to live https://t.co/jIOUmPjHSU https://t.co/jIGRsinthx,Sat Jun 09 03:03:08 +0000 2018,0.0,0.0,0.0,1.0,9
9,@CBSNews,Revelations of a Chinese cyberattack on a U.S. Navy contractor comes days before President Trump attends a summit w… https://t.co/nJQCbqjMaP,Sat Jun 09 02:49:33 +0000 2018,0.0,0.0,0.0,1.0,10
10,@CBSNews,"""The future is now"": Policymakers and businesses are ill-prepared to help workers navigate the transition and adapt… https://t.co/fzNPQYkxY7",Sat Jun 09 02:29:33 +0000 2018,0.4019,0.137,0.0,0.863,11
11,@CBSNews,"Honda slates its Super Cub, the best selling motor vehicle of all time, for a rerelease in the U.S. next year… https://t.co/G24r4LbrgS",Sat Jun 09 02:09:30 +0000 2018,0.8442,0.299,0.0,0.701,12
12,@CBSNews,"Whichever team wins the NBA championship, President Trump says he won't be inviting them to the White House:… https://t.co/1IAxkFizbd",Sat Jun 09 01:49:30 +0000 2018,0.6846,0.269,0.08,0.651,13
13,@CBSNews,Special counsel brings new charges against President Trump's campaign chairman Paul Manafort and a longtime associa… https://t.co/Zdgogo6XPW,Sat Jun 09 01:29:31 +0000 2018,0.1531,0.144,0.112,0.745,14
14,@CBSNews,"""We appreciate President Trump's sentiment, but a pardon is unnecessary,"" says the lawyer for late heavyweight boxi… https://t.co/kMg5ejkSoP",Sat Jun 09 01:09:45 +0000 2018,0.5859,0.242,0.0,0.758,15
15,@CBSNews,"The threats facing our oceans might seem like an overwhelming tsunami of problems, but there is still hope. Here ar… https://t.co/pQVVMv5yCH",Sat Jun 09 00:49:35 +0000 2018,0.431,0.213,0.142,0.645,16
16,@CBSNews,"If you or someone you know is struggling or in crisis, you are not alone. https://t.co/OzkLuk4t2k https://t.co/6ewHgkL6mp",Sat Jun 09 00:29:48 +0000 2018,-0.7319,0.077,0.305,0.618,17
17,@CBSNews,Israeli troops used tear gas and live ammunition on thousands of Palestinian protestors Friday. Officials say four… https://t.co/ri7jZtvdDF,Sat Jun 09 00:09:39 +0000 2018,0.0,0.0,0.0,1.0,18
18,@CBSNews,"Culinary war-correspondent. Back-of-house immigration advocate. Humanitarian travel writer. A breaker of molds, Ant… https://t.co/bNcQCJSzwk",Fri Jun 08 23:49:36 +0000 2018,0.0,0.0,0.0,1.0,19
19,@CBSNews,A New York taxi medallion used to be a safe investment to park one's life savings in. Ride-share competition has le… https://t.co/Rjxqi3YkMi,Fri Jun 08 23:29:34 +0000 2018,0.4404,0.132,0.0,0.868,20
20,@CBSNews,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/mu48Q6mYlv",Fri Jun 08 23:10:27 +0000 2018,-0.1154,0.0,0.065,0.935,21
21,@CBSNews,"RT @CBSEveningNews: A woman vanished today by a lake in south Florida
 
The chief suspect in her disappearance is a large alligator

@David…",Fri Jun 08 22:59:52 +0000 2018,-0.296,0.0,0.104,0.896,22
22,@CBSNews,An Ohio teen with cerebral palsy walked in her high school graduation to her mother's surprise and a standing ovati… https://t.co/FlNZIJDPni,Fri Jun 08 22:55:43 +0000 2018,0.2732,0.1,0.0,0.9,23
23,@CBSNews,RT @CBSEveningNews: Celebrity chef Anthony Bourdain was found dead today in his hotel room in France -- an official said he hanged himself…,Fri Jun 08 22:44:22 +0000 2018,-0.6486,0.0,0.163,0.837,24
24,@CBSNews,An American special forces soldier was killed and four other servicemen were wounded during a multiple-day operatio… https://t.co/hvcglo1SOg,Fri Jun 08 22:33:36 +0000 2018,-0.4215,0.122,0.203,0.676,25
25,@CBSNews,"""The Worm"" is going to Singapore; White House officials, however, have repeatedly said that former NBA star Dennis… https://t.co/UM8lMGC8wG",Fri Jun 08 22:15:04 +0000 2018,0.0,0.0,0.0,1.0,26
26,@CBSNews,"Mitt Romney, formerly the face of the ""Never Trump"" movement in 2016, sees the president being re-nominated ""easily… https://t.co/ZFQfrlOX2u",Fri Jun 08 22:00:00 +0000 2018,0.0,0.0,0.0,1.0,27
27,@CBSNews,Democratic senators want to know if anyone on Wall Street was tipped off with information related to President Trum… https://t.co/80kOsMl9Se,Fri Jun 08 21:19:41 +0000 2018,0.0772,0.064,0.0,0.936,28
28,@CBSNews,"WATCH LIVE: Pres. Trump, Canadian PM Justin Trudeau meet at G7 summit in Charlevoix, Quebec https://t.co/k6VYtNcnL0 https://t.co/ji6kozHSPV",Fri Jun 08 21:06:36 +0000 2018,0.0,0.0,0.0,1.0,29
29,@CBSNews,Revelations of a Chinese cyberattack on a U.S. Navy contractor comes days before President Trump attends a summit w… https://t.co/mfrUgWGXxt,Fri Jun 08 21:00:01 +0000 2018,0.0,0.0,0.0,1.0,30
30,@CBSNews,"""The future is now"": Policymakers and businesses are ill-prepared to help workers navigate the transition and adapt… https://t.co/uXFufQIhVH",Fri Jun 08 20:39:41 +0000 2018,0.4019,0.137,0.0,0.863,31
31,@CBSNews,$1.5 billion in campaign support was not enough for several candidates backed by George Soros to oust the incumbent… https://t.co/EKf8NKGzO2,Fri Jun 08 20:19:40 +0000 2018,0.4215,0.174,0.0,0.826,32
32,@CBSNews,"Honda slates its Super Cub, the best selling motor vehicle of all time, for a rerelease in the U.S. next year… https://t.co/6l1bgDfisP",Fri Jun 08 19:59:55 +0000 2018,0.8442,0.299,0.0,0.701,33
33,@CBSNews,"With one last look at the crowd, Marmalade the harbor seal dived back into the waves off the coast of Ocean City, M… https://t.co/4aAYTzVmSF",Fri Jun 08 19:40:04 +0000 2018,0.0,0.0,0.0,1.0,34
34,@CBSNews,Kia is recalling over a half-million vehicles in the U.S. because the air bags may not work in a crash… https://t.co/5EASH4rhUA,Fri Jun 08 19:24:50 +0000 2018,-0.6369,0.0,0.189,0.811,35
35,@CBSNews,"""We are accountable to the people who use what we make"": Facebook COO Sheryl Sandberg's MIT commencement speech urg… https://t.co/b0ZhxaFHlJ",Fri Jun 08 19:10:19 +0000 2018,0.0,0.0,0.0,1.0,36
36,@CBSNews,Authorities are investigating the reported suicide of a Kansas woman who led a private investigator to the decompos… https://t.co/TapZCfxZeU,Fri Jun 08 18:49:50 +0000 2018,-0.6705,0.0,0.22,0.78,37
37,@CBSNews,"Whichever team wins the NBA championship, President Trump says he won't be inviting them to the White House:… https://t.co/kk5EWWDu3Q",Fri Jun 08 18:34:57 +0000 2018,0.6846,0.269,0.08,0.651,38
38,@CBSNews,"MOMENTS AGO: President Trump and other G7 leaders take ""family photo"" at summit in Quebec https://t.co/gPokHDkAxK https://t.co/2e6r5Sma2o",Fri Jun 08 18:25:45 +0000 2018,0.0,0.0,0.0,1.0,39
39,@CBSNews,NEW: Special counsel brings new charges against President Trump's campaign chairman Paul Manafort and a longtime as… https://t.co/JSoRyS0o2A,Fri Jun 08 18:17:08 +0000 2018,0.1531,0.136,0.106,0.758,40
