,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@CNN,BlackBerry still hopes its keyboard keeps fans coming back https://t.co/AodQi1UcNt https://t.co/r2CaKtagX7,Sat Jun 09 04:46:00 +0000 2018,0.4215,0.219,0.0,0.781,1
1,@CNN,"Venezuela ranks as the most dangerous country in the world for the second straight year, according to a new Gallup… https://t.co/ywDhdCxqJn",Sat Jun 09 04:31:04 +0000 2018,-0.3597,0.082,0.146,0.773,2
2,@CNN,This surveillance camera footage from last weekend shows a tiny asteroid that NASA says disintegrated over southern… https://t.co/f10F3pY2Rw,Sat Jun 09 04:16:00 +0000 2018,0.0,0.0,0.0,1.0,3
3,@CNN,Time cover gets Trump just right | By Michael D'Antonio via @CNNOpinion https://t.co/3Na14xHBeg https://t.co/MtWRm0tvV9,Sat Jun 09 04:01:07 +0000 2018,0.0,0.0,0.0,1.0,4
4,@CNN,"One step on the island of Bermuda, and it's impossible not to be moved by its beauty, history, simplicity and charm… https://t.co/FUbBJgpbPn",Sat Jun 09 03:46:00 +0000 2018,0.5859,0.153,0.0,0.847,5
5,@CNN,The Golden State Warriors clinched their third NBA championship title in four years with a decisive 108-85 win over… https://t.co/xFuSWVjOK6,Sat Jun 09 03:41:59 +0000 2018,0.8225,0.35,0.0,0.65,6
6,@CNN,"Manuel Antonio Cano Pacheco grew up in Iowa. He was sent back to Mexico because of misdemeanor convictions, ICE say… https://t.co/AHXBMGozjb",Sat Jun 09 03:38:22 +0000 2018,0.0,0.0,0.0,1.0,7
7,@CNN,"As family and friends watch at a distance, phones set to record, a man places a watermelon into an alligator's jaws… https://t.co/IwsAdq0ACH",Sat Jun 09 03:31:17 +0000 2018,0.4767,0.147,0.0,0.853,8
8,@CNN,What's the secret to Okinawans' long life? Experts argue that though a combination of good genes and healthy lifest… https://t.co/YqGC9CbZTo,Sat Jun 09 03:16:04 +0000 2018,0.4939,0.233,0.1,0.667,9
9,@CNN,"RT @CNNTonight: ""Tony came raw to the picture, he came with his history of his own demons, he didn't hide that he had these terrible proble…",Sat Jun 09 03:12:27 +0000 2018,-0.3781,0.053,0.108,0.839,10
10,@CNN,What is 5G? It's a wireless network technology that will change everything from how you use your phone to how self-… https://t.co/zsnqRVLTtA,Sat Jun 09 03:01:00 +0000 2018,0.0,0.0,0.0,1.0,11
11,@CNN,IHOP says it's changing name to IHOb. Many major companies also have rebranded — some successfully and some not so… https://t.co/Iogr95BePz,Sat Jun 09 02:46:00 +0000 2018,0.4939,0.144,0.0,0.856,12
12,@CNN,"RT @CuomoPrimeTime: .@chriscuomo: Suicide is a dirty secret in our society. It is a plague. 

Reach out. Don’t wonder whats going on. Ask t…",Sat Jun 09 02:35:58 +0000 2018,-0.8074,0.04,0.269,0.691,13
13,@CNN,"Gloria Williams, who nearly two decades ago took a baby girl from a Florida hospital and raised the child as her ow… https://t.co/Di4Q1jkO6v",Sat Jun 09 02:31:06 +0000 2018,0.0,0.0,0.0,1.0,14
14,@CNN,"RT @CuomoPrimeTime: .@davidaxelrod remembers Anthony Bourdain as well his father, a victim of suicide, and says stigma surrounding the topi…",Sat Jun 09 02:16:43 +0000 2018,-0.6705,0.085,0.267,0.648,15
15,@CNN,"Dean Blanchard's home in coastal Louisiana bayou country is in crisis.

According to the US Geological Survey, more… https://t.co/CBjgkN5iKx",Sat Jun 09 02:16:07 +0000 2018,-0.6249,0.0,0.186,0.814,16
16,@CNN,The world reacts to the death of chef and storyteller Anthony Bourdain https://t.co/THajnhq5qZ https://t.co/P0xv9EWnEe,Sat Jun 09 02:01:06 +0000 2018,-0.5994,0.0,0.231,0.769,17
17,@CNN,"RT @CuomoPrimeTime: Former aide to Donald Trump's presidential campaign, Michael Caputo, breaks with President Trump’s G8 proposal but says…",Sat Jun 09 02:00:54 +0000 2018,0.0,0.0,0.0,1.0,18
18,@CNN,The kingdom that China just can't flip https://t.co/HCW0Ai23dg https://t.co/AcIGdp0nYQ,Sat Jun 09 01:51:09 +0000 2018,0.0,0.0,0.0,1.0,19
19,@CNN,Egypt is building The Grand Egyptian Museum. The cost? More than $1 billion. It will re-house and restore some of t… https://t.co/b0U21oIXxf,Sat Jun 09 01:46:00 +0000 2018,0.6369,0.206,0.0,0.794,20
20,@CNN,How the Trump administration's latest attack on Obamacare could gut protections for the sick https://t.co/k1amBXucg0 https://t.co/aKKVqLIMbI,Sat Jun 09 01:41:04 +0000 2018,-0.7506,0.0,0.314,0.686,21
21,@CNN,"Non-biodegradable chemicals called PFAS have been found in snow all over the world -- even here in the Antarctic, w… https://t.co/Rgq2GxmK4k",Sat Jun 09 01:37:46 +0000 2018,0.0,0.0,0.0,1.0,22
22,@CNN,"From pardons to Pruitt: Another long, busy week in the Trump White House | Analysis by CNN's Saba Hamedy… https://t.co/L8venqdXDa",Sat Jun 09 01:31:08 +0000 2018,0.296,0.109,0.0,0.891,23
23,@CNN,Illinois Republicans in Congress are making an urgent plea to President Donald Trump: Don't let Rod Blagojevich off… https://t.co/GkgxlLl8c0,Sat Jun 09 01:21:05 +0000 2018,0.2023,0.091,0.0,0.909,24
24,@CNN,"RT @CuomoPrimeTime: Anthony Bourdain friend Andrew Zimmern: ""Tony was one of the most important cultural interpreters of our time... its a…",Sat Jun 09 01:17:38 +0000 2018,0.6478,0.218,0.0,0.782,25
25,@CNN,"Suicide prevention: here's how you can help | By Ford Vox, a physician specializing in rehabilitation medicine. Via… https://t.co/Y3UI22Mrro",Sat Jun 09 01:09:03 +0000 2018,-0.4215,0.122,0.203,0.676,26
26,@CNN,"RT @OutFrontCNN: ""People think, 'well, you're a priest, you know the answers to all of these mysteries,' and of course, I really don't."" -…",Sat Jun 09 01:03:10 +0000 2018,0.0,0.0,0.0,1.0,27
