,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@FoxNews,".@POTUS: “You can not leak classified information. At the same time, we need freedom of the press.” https://t.co/zonzNQelY2",Sat Jun 09 04:46:00 +0000 2018,0.738,0.28,0.0,0.72,1
1,@FoxNews,Multiple inquiries into use of force after seven Arizona officers are placed on leave. https://t.co/scIwVBpXXf,Sat Jun 09 04:31:00 +0000 2018,-0.0516,0.0,0.079,0.921,2
2,@FoxNews,.@MarcThiessen: Obama took lying to new heights with the Iran deal. (via @FoxNewsOpinion) https://t.co/4acHiGr1Qq,Sat Jun 09 04:15:00 +0000 2018,-0.5267,0.0,0.207,0.793,3
3,@FoxNews,"1 US soldier killed, 4 wounded in Somalia attack. https://t.co/rUNGe9pHb2",Sat Jun 09 04:05:59 +0000 2018,-0.8225,0.0,0.559,0.441,4
4,@FoxNews,"Indiana high school teacher claims he was forced to resign because of transgender policy.
https://t.co/OPZDu65iWo",Sat Jun 09 04:03:00 +0000 2018,-0.6597,0.0,0.293,0.707,5
5,@FoxNews,JUST IN: Golden State @Warriors sweep the @Cavs for their 3rd @NBA championship title in 4 years.… https://t.co/6hGH0s10WA,Sat Jun 09 03:51:04 +0000 2018,0.4404,0.153,0.0,0.847,6
6,@FoxNews,"Philly mayor dances after sanctuary city ruling, despite past crimes in the city tied to illegal immigrants. https://t.co/93PXsH2eTX",Sat Jun 09 03:46:00 +0000 2018,-0.5574,0.0,0.175,0.825,7
7,@FoxNews,Will Justify win the Triple Crown? Meet the undefeated colt that could become a horse racing legend. https://t.co/HPfg2KQNTl,Sat Jun 09 03:01:00 +0000 2018,0.5859,0.192,0.0,0.808,8
8,@FoxNews,"Lou Holtz on Trump, NFL feud: ""Let's not use sports in order to promote a cause. We're there to win a championship,… https://t.co/GrBNTEZV38",Sat Jun 09 02:55:53 +0000 2018,0.6124,0.239,0.09,0.672,9
9,@FoxNews,"Lou Holtz on @Eagles controversy: ""The locker room belongs to the players of the @NFL. They can say anything they w… https://t.co/LnZMUhci6r",Sat Jun 09 02:51:55 +0000 2018,0.0,0.0,0.0,1.0,10
10,@FoxNews,".@michaelmalice on NK meeting: ""It doesn't really matter in a sense what's agreed to. What matters is, how can we t… https://t.co/0nkipN8v1R",Sat Jun 09 02:40:38 +0000 2018,0.2285,0.142,0.057,0.8,11
11,@FoxNews,"Michael Pillsbury: ""[@POTUS has] previewed his approach to trade and to summits, that he wants to get all the playe… https://t.co/qw52p4v7jx",Sat Jun 09 02:37:30 +0000 2018,0.0,0.0,0.0,1.0,12
12,@FoxNews,'Game of Thrones' prequel pilot reportedly ordered by HBO https://t.co/nQtXTriwJm,Sat Jun 09 02:32:05 +0000 2018,0.0,0.0,0.0,1.0,13
13,@FoxNews,".@POTUS ahead of G7 summit: ""We have massive trade deficits with almost every country. We will straighten that out.… https://t.co/ds9Bv7Mhae",Sat Jun 09 02:23:54 +0000 2018,0.0,0.0,0.0,1.0,14
14,@FoxNews,".@USCG Cutter Thetis crewmembers offloaded more than a ton of marijuana, with a street value of about $2 million, a… https://t.co/HT80cC2VJm",Sat Jun 09 02:08:18 +0000 2018,0.34,0.118,0.0,0.882,15
15,@FoxNews,"Democratic senators accuse @POTUS of possible leak, call for investigation into jobs report tweet. https://t.co/4ugTykbylS",Sat Jun 09 01:57:58 +0000 2018,-0.4939,0.0,0.244,0.756,16
16,@FoxNews,".@Mark_Penn on the Mueller probe: ""I think our Constitution is being stepped on."" #Hannity https://t.co/Puf44fEaAQ",Sat Jun 09 01:46:33 +0000 2018,0.0,0.0,0.0,1.0,17
17,@FoxNews,.@POTUS says he'll ask protesting athletes for pardon referrals. https://t.co/MgQh249zkk,Sat Jun 09 01:35:42 +0000 2018,-0.128,0.176,0.214,0.611,18
18,@FoxNews,".@JudgeJeanine on the upcoming @justiceoig report on the Clinton investigation: ""Look here's the truth, the inspect… https://t.co/uQlLjeQmnj",Sat Jun 09 01:28:52 +0000 2018,0.3182,0.126,0.0,0.874,19
19,@FoxNews,".@LouDobbs: ""The president has communicated this week in his body language, his words, his actions, just how on top… https://t.co/j7LlcfMw6s",Sat Jun 09 01:25:09 +0000 2018,0.0,0.0,0.0,1.0,20
20,@FoxNews,Florida man who allegedly opened fire at a Trump resort is hit with charges. https://t.co/031efFbVeq,Sat Jun 09 01:19:39 +0000 2018,-0.5423,0.0,0.273,0.727,21
21,@FoxNews,".@SeanHannity: ""President @BarackObama left Trump with unfettered international disaster after disaster."" #Hannity https://t.co/LlEF1vjut1",Sat Jun 09 01:13:04 +0000 2018,-0.6249,0.0,0.255,0.745,22
22,@FoxNews,"When deputies arrested a suspected auto thief Friday, they were surprised to find a tiny accomplice riding with him… https://t.co/L5FLkFdMY7",Sat Jun 09 01:01:12 +0000 2018,-0.7579,0.078,0.346,0.576,23
23,@FoxNews,South Carolina man fills in for his sick twin on school picture day: 'Nobody ever noticed' https://t.co/ceOhkYHYxs,Sat Jun 09 00:51:34 +0000 2018,-0.5106,0.0,0.171,0.829,24
24,@FoxNews,"North Korea's leadership loves iPhones, report says https://t.co/DwrWutbm1X",Sat Jun 09 00:46:18 +0000 2018,0.5719,0.346,0.0,0.654,25
25,@FoxNews,Ali Watkins' past tweets come back to haunt NYT reporter amid leak case https://t.co/j0DFBzmE0v,Sat Jun 09 00:33:41 +0000 2018,-0.6249,0.0,0.298,0.702,26
26,@FoxNews,"Florida woman reportedly dragged by alligator into pond confirmed dead, authorities say https://t.co/55tbQwMORS",Sat Jun 09 00:27:02 +0000 2018,-0.6705,0.0,0.333,0.667,27
27,@FoxNews,".@JumaaneWilliams on sanctuary city debate: ""Human beings, whether they're citizens or not citizens, commit crimes.… https://t.co/1Ek6euWxeV",Sat Jun 09 00:23:43 +0000 2018,-0.2235,0.0,0.112,0.888,28
28,@FoxNews,".@POTUS: ""I'm a big, big believer in freedom of the press, but I'm also a believer in classified information has to… https://t.co/tOicEbQOZD",Sat Jun 09 00:17:35 +0000 2018,0.3818,0.12,0.0,0.88,29
29,@FoxNews,"RT @FoxNewsResearch: G7 Members:
—2018 GDP Estimates—
🇺🇸United States: $20.4 trillion
🇯🇵Japan: $5.2 trillion
🇩🇪Germany: $4.2 trillion
🇫🇷Fra…",Sat Jun 09 00:15:07 +0000 2018,0.0,0.0,0.0,1.0,30
30,@FoxNews,RT @FoxBusiness: Markets today: https://t.co/PYZM95vLxS https://t.co/eweDd4EvcS,Sat Jun 09 00:14:23 +0000 2018,0.0,0.0,0.0,1.0,31
31,@FoxNews,.@thekatvond says she won't vaccinate her baby https://t.co/gWPIRRQ18f,Sat Jun 09 00:10:13 +0000 2018,0.0,0.0,0.0,1.0,32
32,@FoxNews,Multiple inquiries into use of force after seven Arizona officers are placed on leave https://t.co/dCEUIX7MOS,Sat Jun 09 00:06:47 +0000 2018,-0.0516,0.0,0.079,0.921,33
33,@FoxNews,"Earlier, @VP Mike Pence visited @WRBethesda to spend time with recovering veterans. #ProudAmerican https://t.co/XLIjleckgO",Sat Jun 09 00:02:48 +0000 2018,0.0,0.0,0.0,1.0,34
34,@FoxNews,.@RCamposDuffy Rips @NancyPelosi's New Economic Criticism: 'Get Out of Your Penthouse' and Visit 'Forgotten America… https://t.co/4Xo3kCSoqW,Fri Jun 08 23:55:21 +0000 2018,-0.5859,0.0,0.255,0.745,35
35,@FoxNews,".@POTUS: ""@MittRomney is a straight shooter."" https://t.co/FtXsikIvlB https://t.co/BMzHI8qk3I",Fri Jun 08 23:52:12 +0000 2018,0.2263,0.241,0.0,0.759,36
36,@FoxNews,"Sister of ex-NBA star Kevin Garnett arrested on attempted robbery, bomb threat charges.
https://t.co/ToJ8JSmMlh",Fri Jun 08 23:49:24 +0000 2018,-0.8957,0.0,0.541,0.459,37
37,@FoxNews,".@RiccioLaw, attorney for two men falsely accused of rape: ""This does a tremendous disservice [for the #MeToo movem… https://t.co/tagFsGhobm",Fri Jun 08 23:47:08 +0000 2018,-0.7845,0.0,0.301,0.699,38
38,@FoxNews,Ancient crucifixion victim offers insight into Jesus’ death. https://t.co/DhG1oceLwf,Fri Jun 08 23:38:48 +0000 2018,-0.7184,0.0,0.462,0.538,39
39,@FoxNews,Multiple inquiries into use of force after seven Arizona officers are placed on leave. https://t.co/fNvdQP0cQw,Fri Jun 08 23:30:10 +0000 2018,-0.0516,0.0,0.079,0.921,40
40,@FoxNews,".@JMfreespeech on the leaking case: ""As a journalist, we all have to be suspicious of the government's motives.""… https://t.co/G0VUb42Ign",Fri Jun 08 23:27:11 +0000 2018,-0.3612,0.0,0.128,0.872,41
41,@FoxNews,".@AndrewCMcCarthy: ""The leaking of classified information has been outrageous."" #TheStory https://t.co/wGlixBHcip",Fri Jun 08 23:23:52 +0000 2018,0.0,0.0,0.0,1.0,42
42,@FoxNews,"Florida woman reportedly dragged by alligator into pond confirmed dead, authorities say. https://t.co/TKQBVLwUXy",Fri Jun 08 23:22:08 +0000 2018,-0.6705,0.0,0.333,0.667,43
43,@FoxNews,".@TomRtweets on Russia: ""There is no rational excuse for them being part of the G7 at the moment."" #TheStory https://t.co/5x9x4e9mnw",Fri Jun 08 23:17:42 +0000 2018,-0.2263,0.06,0.102,0.837,44
44,@FoxNews,".@karlrove on @POTUS' comments on bringing Russia back into the G7: ""I'd rather run the world with our friends than… https://t.co/wzT2y6q7mh",Fri Jun 08 23:12:49 +0000 2018,0.4767,0.134,0.0,0.866,45
45,@FoxNews,California kite surfer narrowly misses humpback whale while riding waves near Golden Gate Bridge https://t.co/Gdw89nAB13,Fri Jun 08 22:56:34 +0000 2018,-0.2263,0.0,0.119,0.881,46
46,@FoxNews,"Charles Lane on G7 summit: ""I think what these other countries find so baffling...[@POTUS] is setting up a situatio… https://t.co/2HCZikP403",Fri Jun 08 22:49:08 +0000 2018,0.0,0.0,0.0,1.0,47
47,@FoxNews,".@ByronYork on G7 summit: ""[@POTUS'] theme is always that other countries are taking advantage of the big, rich Uni… https://t.co/l66Pu9elxD",Fri Jun 08 22:44:29 +0000 2018,0.6808,0.237,0.0,0.763,48
48,@FoxNews,".@ByronYork on G7 summit: ""[@POTUS] seems totally focused on North Korea. He's going to Canada late, he's leaving e… https://t.co/oHXfQuzaaA",Fri Jun 08 22:40:26 +0000 2018,0.4391,0.132,0.0,0.868,49
49,@FoxNews,World's oldest animal footprints discovered - revealing strange burrowing creature that lived 550M years ago https://t.co/yV413WVHjb,Fri Jun 08 22:37:20 +0000 2018,-0.2023,0.0,0.114,0.886,50
50,@FoxNews,"OPINION: @realDonaldTrump prepares for North Korea summit as a great performer -- like Reagan  
 https://t.co/6ZC5mdyETU",Fri Jun 08 22:31:00 +0000 2018,0.765,0.355,0.0,0.645,51
51,@FoxNews,.@KimKardashian denies she's become Trump pawn after Alice Marie Johnson granted clemency https://t.co/tlnnAXAVnC,Fri Jun 08 22:27:00 +0000 2018,-0.2023,0.127,0.177,0.696,52
52,@FoxNews,".@POTUS on G7 summit: ""We had a very, very good meeting on NAFTA with @JustinTrudeau and his representatives.""… https://t.co/oXT5dKPbGU",Fri Jun 08 22:26:03 +0000 2018,0.5379,0.17,0.0,0.83,53
53,@FoxNews,"'Roseanne' cancellation was a right move for ABC, says former producer https://t.co/aUM44HFiqo",Fri Jun 08 22:21:55 +0000 2018,0.0,0.0,0.0,1.0,54
54,@FoxNews,"President @realDonaldTrump: ""The United States has had a very big trade deficit for many years with the European Un… https://t.co/DoxPmBq7Fd",Fri Jun 08 22:16:12 +0000 2018,-0.0422,0.123,0.13,0.747,55
55,@FoxNews,New Jersey Trooper pulls over driver who helped deliver him 27 years ago https://t.co/zvRUBuCBNU,Fri Jun 08 22:10:49 +0000 2018,0.0,0.0,0.0,1.0,56
56,@FoxNews,.@MittRomney predicts a @realDonaldTrump win in 2020. #SpecialReport https://t.co/FtXsikIvlB https://t.co/cBlIaz2sMS,Fri Jun 08 22:07:01 +0000 2018,0.5859,0.322,0.0,0.678,57
57,@FoxNews,"Democratic senators accuse Trump of possible leak, call for investigation into jobs report tweet https://t.co/th2LBTdhT4",Fri Jun 08 22:04:55 +0000 2018,-0.4939,0.0,0.244,0.756,58
58,@FoxNews,OPINION: Justify is the story at the Belmont Stakes https://t.co/9jnbegFdbQ,Fri Jun 08 22:04:00 +0000 2018,0.0,0.0,0.0,1.0,59
59,@FoxNews,.@Tesla employee spotted slumped over in moving Model S. https://t.co/t2J0N6fyR8,Fri Jun 08 22:00:44 +0000 2018,0.0,0.0,0.0,1.0,60
60,@FoxNews,"OPINION: The G7 should listen to Trump or go away.
https://t.co/XNrBhmRyPQ",Fri Jun 08 21:54:00 +0000 2018,0.0,0.0,0.0,1.0,61
61,@FoxNews,"Amid Christian complaints for aid in Iraq, @VP Pence promises quick relief action. https://t.co/z6EDOq6WiA",Fri Jun 08 21:51:00 +0000 2018,0.4588,0.294,0.139,0.567,62
62,@FoxNews,'You Used to Be Pals': Ingraham Challenges Jesse Jackson on Opposition to Trump. https://t.co/3qrdOwR3kO,Fri Jun 08 21:45:40 +0000 2018,0.0772,0.091,0.0,0.909,63
63,@FoxNews,Virginia wildlife center takes in 2 black bear cubs after mother is killed by homeowner. https://t.co/9wmeUXI4f6,Fri Jun 08 21:42:00 +0000 2018,-0.6705,0.0,0.243,0.757,64
64,@FoxNews,".@POTUS signals willingness to back bill easing pot regulation, according to a report. https://t.co/NVuoXc7vk5",Fri Jun 08 21:39:36 +0000 2018,0.4767,0.272,0.0,0.728,65
65,@FoxNews,".@POTUS: ""The power to pardon is a beautiful thing. You got to get it right, you got to get the right people.""… https://t.co/DvDmxp1bFM",Fri Jun 08 21:35:38 +0000 2018,0.7351,0.237,0.0,0.763,66
66,@FoxNews,".@kimguilfoyle: ""The Democrats are out of talking points, but they're not out of gaffes."" #TheFive… https://t.co/9oS95zprPy",Fri Jun 08 21:25:19 +0000 2018,0.0,0.0,0.0,1.0,67
67,@FoxNews,".@POTUS on trade negotiations with Canada: ""We've made a lot of progress today."" https://t.co/WtiUwDHqGI",Fri Jun 08 21:20:32 +0000 2018,0.4215,0.189,0.0,0.811,68
68,@FoxNews,The Washington @Capitals return home after winning the team's first #StanleyCup. https://t.co/Dmwa8Y8VBh https://t.co/so89OXn9Yz,Fri Jun 08 21:11:51 +0000 2018,0.5267,0.221,0.0,0.779,69
69,@FoxNews,"Ahead of the G7 summit, @POTUS slammed Canada's trade policies with the U.S., saying ""they treat us very unfairly.""… https://t.co/I68IFUycXt",Fri Jun 08 21:10:25 +0000 2018,0.4019,0.124,0.0,0.876,70
70,@FoxNews,.@POTUS participates in bilateral meeting with Canadian Prime Minister @JustinTrudeau. https://t.co/RICoO1dLwZ https://t.co/oRXNIaCs0J,Fri Jun 08 21:04:34 +0000 2018,0.0,0.0,0.0,1.0,71
71,@FoxNews,Will Justify win the Triple Crown? Meet the undefeated colt that could become a horse racing legend https://t.co/oRxvUsUIIM,Fri Jun 08 20:55:11 +0000 2018,0.5859,0.192,0.0,0.808,72
72,@FoxNews,Presidential pardons after 18 months in office. @TeamCavuto https://t.co/IdzlhTKrDW,Fri Jun 08 20:50:23 +0000 2018,0.296,0.216,0.0,0.784,73
73,@FoxNews,"Anja Manuel: ""Everyone needs friends, including a powerful country like the U.S. So when we have disputes with our… https://t.co/p3BxHyY8fV",Fri Jun 08 20:48:33 +0000 2018,0.743,0.329,0.082,0.588,74
74,@FoxNews,Attorney General Jeff Sessions delivers remarks at the 2018 Western Conservative Summit.  (Courtesy: KDVR) https://t.co/SOhsyyWZlG,Fri Jun 08 20:28:46 +0000 2018,0.0,0.0,0.0,1.0,75
75,@FoxNews,"Anja Manuel on G7 summit: ""We should be working with our allies, especially the Europeans and Canadians...rather th… https://t.co/r7UYb0rns9",Fri Jun 08 20:18:49 +0000 2018,0.0,0.0,0.0,1.0,76
76,@FoxNews,Protesters are hitting the streets of Quebec City as world leaders meet for the G7 Summit. @RickLeventhal has the s… https://t.co/2WDzeSP5mR,Fri Jun 08 20:13:13 +0000 2018,-0.2263,0.0,0.087,0.913,77
77,@FoxNews,"RT @FoxBusiness: AT THE CLOSE: The Dow Jones Industrial Average closed the day up 73 points, finishing in the green for the third straight…",Fri Jun 08 20:11:52 +0000 2018,0.0,0.0,0.0,1.0,78
78,@FoxNews,".@POTUS kicks off G-7 summit with dings at Canada, Europe over trade policies. @kevincorke has the story.… https://t.co/GvfLQHbqIj",Fri Jun 08 20:11:33 +0000 2018,0.0,0.0,0.0,1.0,79
79,@FoxNews,Farm find! Huge hoard of Dodge and Plymouth cars and trucks heading to auction https://t.co/Sgo0U0rLl3,Fri Jun 08 20:08:21 +0000 2018,0.3802,0.156,0.0,0.844,80
80,@FoxNews,Dairy farmers hit hard by declining milk demand. https://t.co/Vaj83LA8dR,Fri Jun 08 19:57:48 +0000 2018,-0.2263,0.0,0.293,0.707,81
