,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@nytimes,"In Canada, many observers were calling it the ""G-6 plus 1"" — with President Trump being cast as the irrational, ira… https://t.co/AUbzhnVmGY",Sat Jun 09 04:45:03 +0000 2018,-0.34,0.0,0.107,0.893,1
1,@nytimes,"RT @kenvogel: MANAFORT paid KONSTANTIN KILIMNIK $531k in 2013 &amp; 2014, according to lobbying records, but that covers only a fraction of the…",Sat Jun 09 04:30:05 +0000 2018,-0.0387,0.0,0.052,0.948,2
2,@nytimes,What should you do when a loved one is severely depressed? Don’t underestimate the power of showing up. https://t.co/yqRyXmSWiM,Sat Jun 09 04:15:04 +0000 2018,-0.5574,0.148,0.322,0.53,3
3,@nytimes,"""This should be a grave concern to anyone who cares about an informed citizenry,"" said Eileen Murphy, a spokeswoman… https://t.co/iwMg5Ng7tl",Sat Jun 09 04:06:01 +0000 2018,0.1027,0.139,0.12,0.741,4
4,@nytimes,RT @NYTSports: Kevin Durant has been named the MVP of the NBA finals for the second straight year. https://t.co/xSARJQ5MlN,Sat Jun 09 04:01:40 +0000 2018,0.2263,0.095,0.0,0.905,5
5,@nytimes,The U.S. just beat out China to develop the world’s fastest supercomputer. You’d need 6.3 billion years to match wh… https://t.co/DMGoDUacwv,Sat Jun 09 03:54:22 +0000 2018,0.0,0.0,0.0,1.0,6
6,@nytimes,"RT @SopanDeb: **NEW**: In a lengthy (and remarkable) interview with Kyrie Irving, he repeatedly questioned whether the Earth is flat or rou…",Sat Jun 09 03:40:03 +0000 2018,-0.1027,0.0,0.065,0.935,7
7,@nytimes,"Breaking News: The Golden State Warriors have won their third N.B.A. title in four years, sweeping LeBron James and… https://t.co/jbvTIZsZrD",Sat Jun 09 03:29:11 +0000 2018,0.5719,0.163,0.0,0.837,8
8,@nytimes,"At a moment of tumult over trade and nuclear security, President Trump is making friends with America’s enemies and… https://t.co/JtgvrhRvJ6",Sat Jun 09 03:26:27 +0000 2018,0.3182,0.223,0.13,0.648,9
9,@nytimes,"Discover an ""irony free zone where everything is beautiful and nothing hurts.""

What to watch, what to read and wha… https://t.co/gMtAyyRjDD",Sat Jun 09 02:55:05 +0000 2018,0.7906,0.273,0.045,0.682,10
10,@nytimes,President Trump suggested the Group of 7 nations reinstate Russia 4 years after it was cast out for annexing Crimea https://t.co/ZQQDfGp5GN,Sat Jun 09 02:36:05 +0000 2018,0.0,0.0,0.0,1.0,11
11,@nytimes,"RT @nytopinion: Anthony Bourdain exhorted us to open our eyes -- and our guts -- to the wondrous smorgasbord of life, and to savor every la…",Sat Jun 09 02:24:01 +0000 2018,0.0,0.0,0.0,1.0,12
12,@nytimes,"Modern Love: ""I had found a strange liberation in submitting to Dan, but it was only a first step. I wanted the dom… https://t.co/WHIRIHGpqQ",Sat Jun 09 02:08:01 +0000 2018,0.296,0.113,0.061,0.826,13
13,@nytimes,"During this season’s playoffs, LeBron James has accounted for nearly a third of the box-score statistics for the Ca… https://t.co/bugUyF7TK4",Sat Jun 09 01:56:23 +0000 2018,0.0,0.0,0.0,1.0,14
14,@nytimes,No one in the NBA has come close to LeBron James's share of a team’s production for over 40 years https://t.co/YqE8zZiiWg,Sat Jun 09 01:53:49 +0000 2018,0.0,0.098,0.098,0.804,15
15,@nytimes,Kyrie Irving Doesn’t Know if the Earth Is Round or Flat. He Does Want to Discuss It. https://t.co/1ET48Grban,Sat Jun 09 01:49:04 +0000 2018,0.0772,0.071,0.0,0.929,16
16,@nytimes,"LIVE: The Golden State Warriors vs. the Cleveland Cavaliers 

Game 4 updates and analysis https://t.co/3DmQOo5lNw",Sat Jun 09 01:34:11 +0000 2018,0.0,0.0,0.0,1.0,17
17,@nytimes,"Opinion: If There’s a Red Wave Election in 2018, This Will Be Why https://t.co/B0Nmgi1kdN",Sat Jun 09 01:23:06 +0000 2018,0.0,0.0,0.0,1.0,18
18,@nytimes,Opinion: Anthony Bourdain Was the Kind of ‘Bad Boy’ We Need More Of https://t.co/S8JhWFX9Jw,Sat Jun 09 01:04:27 +0000 2018,0.0,0.0,0.0,1.0,19
19,@nytimes,Trump’s New Plan to Dismantle Obamacare Comes With Political Risks https://t.co/Ju2Fw08xUY,Sat Jun 09 00:50:49 +0000 2018,-0.2732,0.0,0.174,0.826,20
20,@nytimes,Press Groups Criticize the Seizing of a Times Reporter’s Records https://t.co/Sqp3BXEBVB,Sat Jun 09 00:36:17 +0000 2018,-0.3818,0.0,0.224,0.776,21
21,@nytimes,"RT @nytfood: ""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout: Don’t ord…",Sat Jun 09 00:25:28 +0000 2018,-0.128,0.0,0.067,0.933,22
